Number of samples: 10000
Number of unique input tokens: 71
Number of unique output tokens: 94
Max sequence length for inputs: 16
Max sequence length for outputs: 59
Train on 8000 samples, validate on 2000 samples
Epoch 1/100

  64/8000 [..............................] - ETA: 1:43:00 - loss: 1.4204
 128/8000 [..............................] - ETA: 51:15 - loss: 1.4536  
 192/8000 [..............................] - ETA: 34:00 - loss: 1.4275
 256/8000 [..............................] - ETA: 25:22 - loss: 1.3687
 320/8000 [>.............................] - ETA: 20:11 - loss: 1.2953
 384/8000 [>.............................] - ETA: 16:43 - loss: 1.2543
 448/8000 [>.............................] - ETA: 14:15 - loss: 1.2267
 512/8000 [>.............................] - ETA: 12:24 - loss: 1.1997
 576/8000 [=>............................] - ETA: 10:57 - loss: 1.1793
 640/8000 [=>............................] - ETA: 9:48 - loss: 1.1649 
 704/8000 [=>............................] - ETA: 8:52 - loss: 1.1477
 768/8000 [=>............................] - ETA: 8:05 - loss: 1.1373
 832/8000 [==>...........................] - ETA: 7:25 - loss: 1.1294
 896/8000 [==>...........................] - ETA: 6:50 - loss: 1.1192
 960/8000 [==>...........................] - ETA: 6:20 - loss: 1.1081
1024/8000 [==>...........................] - ETA: 5:55 - loss: 1.0999
1088/8000 [===>..........................] - ETA: 5:31 - loss: 1.0930
1152/8000 [===>..........................] - ETA: 5:11 - loss: 1.0873
1216/8000 [===>..........................] - ETA: 4:53 - loss: 1.0825
1280/8000 [===>..........................] - ETA: 4:37 - loss: 1.0786
1344/8000 [====>.........................] - ETA: 4:22 - loss: 1.0723
1408/8000 [====>.........................] - ETA: 4:08 - loss: 1.0662
1472/8000 [====>.........................] - ETA: 3:56 - loss: 1.0599
1536/8000 [====>.........................] - ETA: 3:44 - loss: 1.0555
1600/8000 [=====>........................] - ETA: 3:34 - loss: 1.0512
1664/8000 [=====>........................] - ETA: 3:24 - loss: 1.0458
1728/8000 [=====>........................] - ETA: 3:15 - loss: 1.0400
1792/8000 [=====>........................] - ETA: 3:07 - loss: 1.0368
1856/8000 [=====>........................] - ETA: 2:59 - loss: 1.0338
1920/8000 [======>.......................] - ETA: 2:52 - loss: 1.0300
1984/8000 [======>.......................] - ETA: 2:45 - loss: 1.0268
2048/8000 [======>.......................] - ETA: 2:38 - loss: 1.0253
2112/8000 [======>.......................] - ETA: 2:32 - loss: 1.0231
2176/8000 [=======>......................] - ETA: 2:26 - loss: 1.0190
2240/8000 [=======>......................] - ETA: 2:21 - loss: 1.0169
2304/8000 [=======>......................] - ETA: 2:16 - loss: 1.0135
2368/8000 [=======>......................] - ETA: 2:11 - loss: 1.0107
2432/8000 [========>.....................] - ETA: 2:06 - loss: 1.0081
2496/8000 [========>.....................] - ETA: 2:02 - loss: 1.0050
2560/8000 [========>.....................] - ETA: 1:58 - loss: 1.0042
2624/8000 [========>.....................] - ETA: 1:54 - loss: 1.0042
2688/8000 [=========>....................] - ETA: 1:50 - loss: 1.0031
2752/8000 [=========>....................] - ETA: 1:46 - loss: 1.0010
2816/8000 [=========>....................] - ETA: 1:43 - loss: 0.9998
2880/8000 [=========>....................] - ETA: 1:39 - loss: 0.9990
2944/8000 [==========>...................] - ETA: 1:36 - loss: 0.9986
3008/8000 [==========>...................] - ETA: 1:33 - loss: 0.9962
3072/8000 [==========>...................] - ETA: 1:30 - loss: 0.9953
