Number of samples: 10000
Number of unique input tokens: 71
Number of unique output tokens: 78
Max sequence length for inputs: 24
Max sequence length for outputs: 54
Train on 8000 samples, validate on 2000 samples
Epoch 1/100

  64/8000 [..............................] - ETA: 2:02:49 - loss: 1.7646
 128/8000 [..............................] - ETA: 1:01:06 - loss: 1.7545
 192/8000 [..............................] - ETA: 40:29 - loss: 1.7391  
 256/8000 [..............................] - ETA: 30:11 - loss: 1.6346
 320/8000 [>.............................] - ETA: 24:01 - loss: 1.5788
 384/8000 [>.............................] - ETA: 19:54 - loss: 1.5262
 448/8000 [>.............................] - ETA: 16:57 - loss: 1.4977
 512/8000 [>.............................] - ETA: 14:44 - loss: 1.4668
 576/8000 [=>............................] - ETA: 13:01 - loss: 1.4334
 640/8000 [=>............................] - ETA: 11:38 - loss: 1.4085
 704/8000 [=>............................] - ETA: 10:31 - loss: 1.3947
 768/8000 [=>............................] - ETA: 9:35 - loss: 1.3798 
 832/8000 [==>...........................] - ETA: 8:47 - loss: 1.3636
 896/8000 [==>...........................] - ETA: 8:06 - loss: 1.3529
 960/8000 [==>...........................] - ETA: 7:30 - loss: 1.3405
1024/8000 [==>...........................] - ETA: 6:59 - loss: 1.3322
1088/8000 [===>..........................] - ETA: 6:32 - loss: 1.3200
1152/8000 [===>..........................] - ETA: 6:08 - loss: 1.3134
1216/8000 [===>..........................] - ETA: 5:46 - loss: 1.3039
1280/8000 [===>..........................] - ETA: 5:26 - loss: 1.2989
1344/8000 [====>.........................] - ETA: 5:08 - loss: 1.2916
1408/8000 [====>.........................] - ETA: 4:52 - loss: 1.2889
1472/8000 [====>.........................] - ETA: 4:37 - loss: 1.2822
1536/8000 [====>.........................] - ETA: 4:26 - loss: 1.2796
1600/8000 [=====>........................] - ETA: 4:14 - loss: 1.2726
1664/8000 [=====>........................] - ETA: 4:03 - loss: 1.2672
1728/8000 [=====>........................] - ETA: 3:52 - loss: 1.2623
1792/8000 [=====>........................] - ETA: 3:42 - loss: 1.2576
1856/8000 [=====>........................] - ETA: 3:32 - loss: 1.2553
1920/8000 [======>.......................] - ETA: 3:23 - loss: 1.2531
1984/8000 [======>.......................] - ETA: 3:15 - loss: 1.2487
2048/8000 [======>.......................] - ETA: 3:08 - loss: 1.2487
2112/8000 [======>.......................] - ETA: 3:00 - loss: 1.2461
2176/8000 [=======>......................] - ETA: 2:53 - loss: 1.2421
2240/8000 [=======>......................] - ETA: 2:47 - loss: 1.2397
2304/8000 [=======>......................] - ETA: 2:41 - loss: 1.2361
2368/8000 [=======>......................] - ETA: 2:35 - loss: 1.2324
2432/8000 [========>.....................] - ETA: 2:30 - loss: 1.2291
2496/8000 [========>.....................] - ETA: 2:24 - loss: 1.2282
2560/8000 [========>.....................] - ETA: 2:19 - loss: 1.2261
2624/8000 [========>.....................] - ETA: 2:15 - loss: 1.2252
2688/8000 [=========>....................] - ETA: 2:10 - loss: 1.2233
2752/8000 [=========>....................] - ETA: 2:06 - loss: 1.2218
2816/8000 [=========>....................] - ETA: 2:02 - loss: 1.2188
2880/8000 [=========>....................] - ETA: 1:58 - loss: 1.2157
2944/8000 [==========>...................] - ETA: 1:54 - loss: 1.2143
3008/8000 [==========>...................] - ETA: 1:50 - loss: 1.2124
3072/8000 [==========>...................] - ETA: 1:47 - loss: 1.2090
